Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
A_03;NIDO CLAUDIO DOMINO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.169736;13.321856;67;Parzialmente inaccessibile;Alta;No;7
A_04;NIDO MELOGRANO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1531026;13.3259806;62;Parzialmente inaccessibile;Alta;No;7
A_05;NIDO AQUILONE;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0866409;13.4991064;56;Parzialmente accessibile;Alta;No;7
A_06;NIDO PETER PAN;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1359562;13.310704;58;Parzialmente accessibile;Alta;No;4
A_07;NIDO FILASTROCCA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1251615;13.3080243;61;Parzialmente accessibile;Alta;No;7
A_08;NIDO LA MIMOSA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1672819;13.3294462;56;Parzialmente accessibile;Alta;No;7
A_09;NIDO PANTERA ROSA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;;;61;Parzialmente accessibile;Alta;No;7
A_10;NIDO GIRASOLE;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1192898;13.3364552;56;Parzialmente accessibile;Alta;No;4
A_11;NIDO TOPOLINO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1144766;13.3386984;57;Parzialmente accessibile;Alta;No;4
A_12;NIDO LA LIBELLULA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;;;61;Parzialmente accessibile;Alta;No;5
A_13;NIDO DRAGO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.104639;13.3317461;54;Parzialmente accessibile;Alta;No;5
A_14;NIDO TOM & JERRY;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1267316;13.3105413;71;Parzialmente inaccessibile;Alta;No;7
A_15;NIDO ERMELLINO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0873041;13.365977;59;Parzialmente accessibile;Alta;No;4
A_16;NIDO BRACCIO DI FERRO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;37.7233842;13.4313648;66;Parzialmente inaccessibile;Alta;No;4
A_17;NIDO ALLODOLA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0893907;13.3543086;57;Parzialmente accessibile;Alta;No;4
A_18;NIDO PAPAVERO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1303855;13.3000748;59;Parzialmente accessibile;Alta;No;4
A_19;NIDO PELLICANO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0821905;13.3602297;57;Parzialmente accessibile;Alta;No;4
A_20;NIDO MASIH IQBAL;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1241027;13.3156569;66;Parzialmente inaccessibile;Alta;No;7
A_21;NIDO GRILLO PARLANTE;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.155364;13.3335184;62;Parzialmente inaccessibile;Alta;No;4
A_22;NIDO LIDIA TORNATORE;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0707837;13.5068255;65;Parzialmente inaccessibile;Alta;No;4
A_23;NIDO LA MALFA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;;;54;Parzialmente accessibile;Alta;No;7
A_24;NIDO MARICÒ;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0977597;13.3464656;58;Parzialmente accessibile;Alta;No;6
A_25;ASILO GALANTE;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1123308;13.3445983;58;Parzialmente accessibile;Alta;No;4
A_26;NIDO IL FARO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.0920247;13.3750638;66;Parzialmente inaccessibile;Alta;No;4
S_01;SCUOLA S. DOMENICO SAVIO;Scuola;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA;;;;;;;67;Parzialmente inaccessibile;Alta;No;7
S_02;SCUOLA BENTIVEGNA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1666522;13.316668;73;Parzialmente inaccessibile;Alta;No;7
S_03;SCUOLA COLLODI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1520999;13.3333057;62;Parzialmente inaccessibile;Alta;No;7
S_04;SCUOLA MALAGUZZI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA;;;;;38.1494257;13.3274354;61;Parzialmente accessibile;Alta;No;4
S_05;SCUOLA RIZZO;Scuola;SERVIZI PUBBLICI - ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1498101;13.3707875;71;Parzialmente inaccessibile;Alta;No;7
S_06;SCUOLA GARZILLI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1420219;13.342436;76;Parzialmente inaccessibile;Alta;No;7
S_07;SCUOLA ABBA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA;;;;;38.1438541;13.3657862;78;Parzialmente inaccessibile;Alta;No;7
S_08;SCUOLA TRIESTE;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1400296;13.3523357;73;Parzialmente inaccessibile;Alta;No;7
S_09;SCUOLA GENTILI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO;;;;;38.1339568;13.344736;62;Parzialmente inaccessibile;Alta;No;7
S_10;SCUOLA GARIBALDI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;;;;;38.1311393;13.3534452;71;Parzialmente inaccessibile;Alta;No;7
S_11;SCUOLA PITRÈ;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.1308301;13.3455672;70;Parzialmente inaccessibile;Alta;No;7
S_12;SCUOLA DE AMICIS;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO;;;;;38.12647;13.3374483;58;Parzialmente accessibile;Alta;No;4
