Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
VC_41,VIA TERRASANTA – VIA GIUSEPPE SCIUTI – VIA EMPEDOCLE RESTIVO – VIALE STRASBURGO,Via cittadina,PERCORSI CITTADINI,ZONA RESIDENZIALE E ISTITUZIONALE,MARCIAPIEDE,38.1300172,13.3447437,,32,Accessibile,Alta,No,13,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
S_11,SCUOLA PITRÈ,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA,,,38.1303466,13.3437383,"Via Damiani Almeyda, 2",70,Parzialmente inaccessibile,Alta,No,7,Mancanza rampa per piano rialzato; campanello inaccostabile; maniglioni bagno insufficienti; fasce cromatiche che confondono; assenza percorso tattile.,SCUOLA PITRÈ,VIII,Politeama,S.Francesco di Paola - Terrasanta
M_01,PALAZZO ZIINO,Museo,SERVIZI PUBBLICI – MUSEO,,,38.12422595,13.35202701,"Via Dante, 53",69,Parzialmente inaccessibile,Alta,No,10,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
S_18,SCUOLA TURRISI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1197304,13.3523701,"P.zza Vittorio Emanuele Orlando, 3",69,Parzialmente inaccessibile,Alta,No,5,Water non idoneo; pavimentazione interna confondente; corrimano non sempre presente; assenza pavimentazione tattile; porta non idonea.,SCUOLA TURRISI,VIII,Politeama,S.Francesco di Paola - Terrasanta
VS_37,VIA DOMENICO LANCIA DI BROLO,Percorso storico,PERCORSI STORICI,VIA INTERNA PERIFERICA,MARCIAPIEDE,38.1241838,13.335454,,50,Parzialmente accessibile,Alta,No,13,,,V,Noce,Noce
VS_36,VIA RUGGERONE DA PALERMO – VIA TOMMASO CALOJRA – FONDO LA MANNA,Percorso storico,PERCORSI STORICI,VIA INTERNA PERIFERICAE,MARCIAPIEDE,38.1208412,13.3329527,,53,Parzialmente accessibile,Alta,No,14,,,V,Noce,Noce
VS_35,VIA NOCE – VIA GIUSEPPE EVANGELISTA DI BLASI,Percorso storico,PERCORSI STORICI,VIA INTERNA PERIFERICA,MARCIAPIEDE,38.1208444,13.3361534,,43,Parzialmente accessibile,Alta,No,15,,,V,Noce,Noce
VC_31,VIA DOMENICO LANCIA DI BROLO - VIA ENRICO FERMI – VIA ANTONIO PACINOTTI – VIA GALILEO GALILEI – VIA,Via cittadina,PERCORSI CITTADINI,SEMICENTRALE – ALTA DENSITÀ,MARCIAPIEDE,38.1241838,13.335454,,42,Parzialmente accessibile,Alta,No,19,,,V,Noce,Noce
S_12,SCUOLA DE AMICIS,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO,,,38.1267735,13.3374461,"Via Serradifalco, 190",58,Parzialmente accessibile,Alta,No,4,Segnaletica orizzontale non a norma; corridoi parzialmente idonei; assenza percorso tattile e pavimentazione tattile.,SCUOLA DE AMICIS,V,Noce,Noce
AV_12,"PARCO NAZARIO SAURO, VIA NAZARIO SAURO",Area verde,AREE URBANE,AMBITO RESIDENZIALE,PERCORSI INTERNI,38.12497386,13.33048582,Via Nazario Sauro,45,Parzialmente accessibile,Alta,No,10,,,V,Noce,Noce
VC_32,VIA FILIPPO PARLATORE – VIA MALASPINA – VIA GEN. ANTONIO CANTORE,Via cittadina,PERCORSI CITTADINI,AREA DIREZIONALE,MARCIAPIEDE,38.124259,13.3438844,,41,Parzialmente accessibile,Alta,No,14,,,V,Noce,Parlatore - Serradifalco
S_14,SCUOLA MANZONI,Scuola,"SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA",,,38.125833,13.3430753,"Via Filippo Parlatore, 56",69,Parzialmente inaccessibile,Alta,No,4,Presenza di scale senza rampe esterne; pavimentazione interna scivolosa; porte interne con dimensioni minime non garantite; sportello informazioni non a norma.,SCUOLA MANZONI,V,Noce,Parlatore - Serradifalco
VC_29,VIA LEONARDO DA VINCI – VIA NOTARBARTOLO – VIALE DUCA DELLA VERDURA,Via cittadina,PERCORSI CITTADINI,ASSE TERZIARIO,MARCIAPIEDE,38.1304046,13.33652308,,43,Parzialmente accessibile,Alta,No,12,,,VIII,Malaspina -Palagonia,Malaspina - Leonardo da Vinci
VC_44,VIA DELLA LIBERTÀ – VIA DELLA CROCE ROSSA,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE/COMMERCIALE,MARCIAPIEDE,38.1323098,13.350688,,38,Accessibile,Alta,No,12,,,VIII,Libertà,Notarbartolo - Giardino Inglese
S_09,SCUOLA GENTILI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO,,,38.1315736,13.3467739,"Via Francesco Lo Jacono, 1",62,Parzialmente inaccessibile,Alta,No,7,Campanello troppo alto; maniglioni porta con scarso contrasto cromatico; guide poco definite; bagno non fruibile per ipovedenti; assenza pavimentazione tattile.,SCUOLA GENTILI,VIII,Libertà,Notarbartolo - Giardino Inglese
AV_11,"PARCO PIERSANTI MATTARELLA, VIALE DELLA LIBERTÀ",Area verde,AREE URBANE,AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO,PERCORSI INTERNI,38.13344837,13.35272592,Via della Libertà,41,Parzialmente accessibile,Alta,No,10,,,VIII,Libertà,Notarbartolo - Giardino Inglese
AV_10,"VILLA GARIBALDI, VIALE DELLA LIBERTÀ",Area verde,AREE URBANE,AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO,PERCORSI INTERNI,38.13138033,13.35084746,Via della Libertà,46,Parzialmente accessibile,Alta,No,7,,,VIII,Libertà,Notarbartolo - Giardino Inglese
